customer_id,name,email,signup_date,country,state,city
043522c0-9c37-44a3-b8f2-531859d30872,Cliente 27,cliente27@exemplo.com,2025-02-22,Brasil,SC,Belo Horizonte
f8618983-3732-468d-a085-51a85008da30,Cliente 28,cliente28@exemplo.com,2025-01-22,Brasil,RS,Porto Alegre
8f005457-8fb9-43d8-bad0-250748325ebf,Cliente 29,cliente29@exemplo.com,2025-08-31,Brasil,RJ,Belo Horizonte
0c319386-1fa4-4657-a60e-c6a17d55505f,Cliente 30,cliente30@exemplo.com,2025-02-10,Brasil,RJ,Belo Horizonte
90eae028-a92c-40f2-a0d6-edc55541c4c8,Cliente 31,cliente31@exemplo.com,2025-10-09,Brasil,MG,Florianópolis
c27b8549-1985-4f0b-a427-52f5602e3790,Cliente 32,cliente32@exemplo.com,2025-04-25,Brasil,RS,Curitiba
7a2192b7-5774-4cd9-8529-aa63e38beae5,Cliente 33,cliente33@exemplo.com,2024-12-26,Brasil,RJ,Curitiba
47b8c7c4-fb38-4cbc-a332-e552ddf418e2,Cliente 34,cliente34@exemplo.com,2025-10-14,Brasil,SC,Florianópolis
d1296772-1ad4-49f3-844d-2f8ef2796b32,Cliente 35,cliente35@exemplo.com,2025-09-28,Brasil,SC,Porto Alegre
362563f4-a873-4284-aec5-a64e628e6d72,Cliente 36,cliente36@exemplo.com,2025-01-28,Brasil,SC,Florianópolis
b6bce046-c4f6-4ee4-b0be-63fdaa74ef2a,Cliente 37,cliente37@exemplo.com,2025-04-15,Brasil,SC,Rio
4f9f2f53-83b2-49f7-beaf-4eedfea5ae3f,Cliente 38,cliente38@exemplo.com,2025-03-17,Brasil,MG,Rio
814e2c54-ce09-418a-b371-fb26f2ba4526,Cliente 39,cliente39@exemplo.com,2025-04-16,Brasil,PR,Rio
793a9e21-ecd2-453a-87b1-a26fdf07a551,Cliente 40,cliente40@exemplo.com,2025-08-20,Brasil,RJ,Porto Alegre
b3d55346-47cc-4214-b96c-31dbf6951938,Cliente 41,cliente41@exemplo.com,2025-05-01,Brasil,SC,São Paulo
c02c9e50-8b44-43fd-aede-84422a0a287a,Cliente 42,cliente42@exemplo.com,2025-08-26,Brasil,SC,Florianópolis
6a4847a8-0f26-46f3-a900-acb7870c6502,Cliente 43,cliente43@exemplo.com,2025-05-06,Brasil,RJ,Rio
3176e5c7-6806-4c7b-a071-2761c5beef8e,Cliente 44,cliente44@exemplo.com,2025-02-06,Brasil,RS,São Paulo
2afa1545-5872-4b09-b241-c8a0738a59f9,Cliente 45,cliente45@exemplo.com,2025-12-01,Brasil,RS,Florianópolis
1e323a26-b791-4b9f-8a43-84c03c506039,Cliente 46,cliente46@exemplo.com,2025-01-18,Brasil,MG,Rio
9b73a98b-832c-4296-b394-426a32047068,Cliente 47,cliente47@exemplo.com,2025-07-19,Brasil,RJ,Curitiba
1adde11a-0b79-4a83-b314-f4f9a65e1acd,Cliente 48,cliente48@exemplo.com,2025-10-10,Brasil,RJ,Curitiba
4da7de70-a4f3-4f65-a41d-53b57e9363c5,Cliente 49,cliente49@exemplo.com,2025-11-07,Brasil,MG,Porto Alegre
